bl_code,name,quantity
CG81441,Happy Holiglaze Be Bright 4pc Mini Set,90
CG81440,Happy Holiglaze Be Merry 4pc Mini Set,60
CG81445,Happy Holiglaze Get Carried Away 3pc Set,96
CG81446,Happy Holiglaze Good Spirits 2pc Set,44
CG81444,Happy Holiglaze Oh Joy! 4pc Set,22
CG81447,"Happy Holiglaze Snow Buddy 3pc Set, Includes: Polar Bear, There's Snow One Like You, Be Merry, Be Bright, Elfin' Around & 1 Stuffed Bear FREE",0
CG81439,Happy Holiglaze Sparkle All The Way 3pc Set,60
CG81442,Happy Holiglaze Touch of Twinkle 3pc Set,19
CG80211,Harmony,3
CG80621,Harvest Moon,0
CG81085,Haunting,0
CG81545,Haunting Halloween Ghoulish Glow 6pc Set,30
CG70392,Haute Hippie,0
CG80765,Haute Metal,23
CG70282,Have To Have It,0
CG70337,Hawaiian Punch,1
CG70340,Heart of Africa,37
CG81101,Heart of the Matter,123
CG81329,Heat Index,28
CGCGX022,Heather,0
CG70390,Heaven,39
CG80865,Heirloom Organza,0
CG80934,Heli_Yum,0
CG81108,Hello Gorgeous,2
CG70320,Her Fabulousness,9
CGCGX148,"Here Kitty, Kitty",0
CGCGX131,Here's Looking At Hue,0
CG70691,He's Going In Circles,0
CG80507,Hey Doll,1
CG80965,Hey Sailor,0
CG70420,Hi_Tek,0
CG80939,High Hopes,43
CG70321,High Maintenance,75
CG70317,High Roller,44
CG81328,Highlight Of My Summer,4
CG70532,Hippie Chic,0
CG82277,History Of The World,0
CG80656,Ho Ho Ho,0
87-8855,Holiday Berry (Cuticle Oil),0
CG87_2844,Holiday Berry Cuticle Oil,1
CG87-2844,Holiday Berry Cuticle Oil,171
CG80685,Holiday Charms,0
CG80658,Holiday Joy 12pc Display,0
CG80660,Holiday Joy 36pc Display,0
CG80661,Holiday Joy 36pc Prepack,0
CG80673,Holiday Joy 36pc Rack,0
CG81040,"Holiday Spirits 4pc Set, Includes: Icicle, Champagne Bubbles, Glittering Garland + 1 Pewter Bottle Stopper FREE",57
CG81036,Holly Bear-y 3pc Set,57
CG80515,Holly-Day,96
CG81166,Hologlam 36pcs in 12pc Display,0
CG81296,Hologlam in 12pc Display,3
CG80616,Hook and Line,0
CG70628,Hope Chest,0
CG81098,Hopeful,25
CG70334,Hot Apple,0
CG70625,Hot Lava Love,19
CGCGT411,Hot Tootsies,0
CG70688,How About A Tumble,0
CG70360,How Lola Can You Go?,0
CG81490,Howl You Doin,51
CGCGX132,Hue Thrill Me,0
CG70263,Hurts So Good,0
CG80828,Hybrid,2
CG77001,I,2
CG80526,I Herd That,2
CG70314,I Love Hue,0
CG82122,I Love Your Guts,0
CG81474,I Pink I Can,0
CG81789,I Sea The Point,21
CG70623,I Wanna Lei Ya,0
CG72054,Ibiza,0
CG80523,Icicle,4
CG80979,Ick-A-Bod-Y,0
CG81925,I'd Melt For You,0
CG80804,IDK,0
CG81784,If In Doubt Surf It Out,10
CG81129,Igniting Love,0
CG77002,II,0
CG77003,III,1
CG81257,I'm A Chromantic,17
CG81840,I'm A Go Glitter,130
CGCGS520,I'm a Special Blend,0
CG70267,I'm Not Bitter,0
CG80527,I'm Not Lion,5
CG80443,I'm With The Lifeguard,7
CG28812,Immaterial Gurl 6pc Display,0
CG80785,Immortal,0
CG81762,In A Lilly Bit,82
CG70889,In Awe of Amber,15
CG70640,In The Lime Light,3
CG81284,In The Rough,11
CG70394,In Vogue,0
CGCGX153,Indian Ocean,0
CG81159,Infra-Red,15
CG80506,Ingrid,0
CG80852,INK 18pc Display,0
CG80853,INK 29pc Display,0
CG80854,INK 42pc Display,0
CG80849,INK 6pc 0.325oz with Ultra-Fine Nail Art Brush Display,0
CG80851,INK 8pc Box Collection,0
CG80848,INK My Nail - Nail Art Decals,0
CG80850,INK Orange Cuticle Oil 0.625oz Limited Edition 6pc Display,0
CG70671,Inner Beauty,87
CG72025,Innocence,103
CG80603,Instant Chemistry,11
CG82278,Intelligence Integrity Courage,0
CG70315,International Flare,3
CG81259,Iron Out The Details,1
CG80710,Island Escape 12pc Display,0
CG80712,Island Escape 36pc Rack,0
CG80708,Island Escape 6pc Box Collection,0
CG80709,Island Escape 6pc Display,0
CG81325,Isle See You Later,5
CG70357,Italian Red,112
CG70637,It's 5 O'clock Somewhere,0
CG81120,It's A Trap-eze,0
CG81086,It's Alive,0
CG70681,It's My Turn,0
CG80905,Its Poppin,68
CG81282,Itty Bitty & Gritty,1
CG77004,IV,2
CG77009,IX,4
CG80557,Jade-D,512
CG70338,Jamaican Out,16
CG80531,Jane Loves Tarzan,35
CG80844,Japanese Koi,1
CG70397,Jet Set Chic,0
CG70258,Jetstream,16
CG80694,Jingle All The Way,2
CG25172,Jingle Bells,0
CG80512,Jitterbug,3
CG25169,Jolly Holly,0
CG80207,Joy,0
CG80495,Jungle Queen,43
CG81390,Just Be Claws,100
CGCGX133,Just Hue & Me,0
CG70269,Just Lovely,0
CG80528,Kalahari Kiss,271
CG72132,Kaleidoscope 36pc Rack,0
CG72130,Kaleidoscope 6pc Acetate Box Set - Warm Palette,0
CG70690,Kaleidoscope Him Out,0
CG81188,Keep Calm Paint On,0
CG80687,Keepin' Cozy 4pc Set,43
CG81324,Keepin' It Teal,58
CG80333,Khrome 12pcs in 6pc display,0
CG80334,Khrome 24pc in 12pc display,0
CG70422,Khromes 6pc Box collection,0
CG80565,Kickin' Up My Kilt,148
CG28863,Kicks - Lace Up In Colour 12pc Display w/ 12pc backup (total 24pcs),0
CG28866,Kicks - Lace Up In Colour 36pc Rack w/ 36pc backup (total 72pcs),0
CG28870,Kicks - Lace Up In Colour 36pc Rack w/ 36pc backup (total 72pcs),0
CG80735,Kinetic Candy,0
CG81353,Kiss My Glass,0
CG80949,Kiwi Cool_ada,2
CG80975,Knotty,3
CG80812,L8R G8R,0
CG80907,Laced Up,11
CGCGX127,Lady Sings The Hues,0
CGCGX159,Laid Back Lilac,0
CG70228,Lap of Luxury,0
CG80887,Lasso My Heart,73
CG80419,Latte,0
CG80764,Latticed Lilac,95
CG70512,Lavender Lingo,0
CG70288,Left At The Altar,0
CG80941,Lemon Fizz,59
CG80688,Let It Glow 4pc Set,37
CG81047,Let It Snow 12pcs Display,0
CG81048,Let It Snow 36pc Rack,0
CG81039,Let It Snow 3pc Set,0
CG80323,"Let's Cruise 6pc Box Collection, Includes: Stroll, Thunderbird, Drive In, Street Racing, Free Love and Cruisin'",0
CG70686,Let's Do It In 3-D,0
CG80312,Lets Groove,78
CG82139,Life Is Beautiful,0
CG81192,Life is Rosy,1
