bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
BOTP9.C,Salon Solutions,Lotion Pump Bottle,200ml,Clear/Silver,piece,SSBOTPNO15,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.59,80,60,For Cancellation,BLPI - Dasma,0
BOTS5.C,Salon Solutions,Spray Bottle,100ml,Clear/Silver,piece,SSBOTPNO16,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.56,65,55,For Cancellation,BLPI - Dasma,0
BOTS6.C,Salon Solutions,Spray Bottle,200ml,Clear/Silver,piece,SSBOTPNO17,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.59,80,60,For Cancellation,BLPI - Dasma,0
BOTP10.C,Salon Solutions,Lotion Pump Bottle,100ml,Black/White,piece,SSBOTPNO18,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.55,70,55,For Cancellation,BLPI - Dasma,0
BOTP11.C,Salon Solutions,Lotion Pump Bottle,200ml,Black/White,piece,SSBOTPNO19,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.57,75,55,For Cancellation,BLPI - Dasma,0
BOTS7.C,Salon Solutions,Lotion Pump Bottle,100ml,Black/White,piece,SSBOTPNO20,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.55,70,55,For Cancellation,BLPI - Dasma,0
BOTS8.C,Salon Solutions,Lotion Pump Bottle,200ml,Black/White,piece,SSBOTPNO21,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Lotion Pump,0.57,75,55,For Cancellation,BLPI - Dasma,0
BOTS9.C,Salon Solutions,Spray Bottle,100ml,Clear,piece,SSBOTPNO22,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.55,70,55,For Cancellation,BLPI - Dasma,0
BOTS10.C,Salon Solutions,Spray Bottle,200ml,Clear,piece,SSBOTPNO23,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.56,75,55,For Cancellation,BLPI - Dasma,0
BOTS11.C,Salon Solutions,Spray Bottle,50ml,Clear,piece,SSBOTPNO24,Cash,For Cancellation,---,C,Zitong Plastic Bottle,Spray Bottle,0.5,65,50,For Cancellation,BLPI - Dasma,0
